"","Year","ST","MWh","Carbon","Carbon Intensity"
"324",1996,"KY",88447496,80180350,0.91
"325",1996,"LA",77739896,47709780,0.61
"326",1996,"MA",37954020,23362782,0.62
"327",1996,"MD",46274617,29198283,0.63
"328",1996,"ME",14934373,4498728,0.3
"329",1996,"MI",112518309,77660098,0.69
"330",1996,"MN",44328439,34536206,0.78
"331",1996,"MO",68122528,59199597,0.87
"332",1996,"MS",31277282,18458976,0.59
"333",1996,"MT",26837425,14127981,0.53
"334",1996,"NC",112197741,67661171,0.6
"335",1996,"ND",30908490,30949417,1
"336",1996,"NE",27351109,17123712,0.63
"337",1996,"NH",17063649,4332766,0.25
"338",1996,"NJ",37716583,19116502,0.51
"339",1996,"NM",30161290,29171511,0.97
"340",1996,"NV",25580408,19466283,0.76
"341",1996,"NY",135732249,52924242,0.39
"342",1996,"OH",144437214,124329626,0.86
"343",1996,"OK",51849620,44218223,0.85
"344",1996,"OR",51011774,3848781,0.08
"345",1996,"PA",191872623,115798095,0.6
"346",1996,"RI",7720036,3661370,0.47
